Event,    Time,   Duration
Internet unavailable,  2022-01-04 02:07:21.776850471 UTC, PT1.027021256S
Internet unavailable,  2022-01-04 08:48:55.536767300 UTC, PT1.125636690S
Internet unavailable,  2022-01-04 08:48:58.816987909 UTC, PT1.031108467S
Internet unavailable,  2022-01-04 08:49:43.776720416 UTC, PT1.412535832S
Internet unavailable,  2022-01-04 08:52:24.816740239 UTC, PT1.247114940S
Internet unavailable,  2022-01-04 08:52:46.736742061 UTC, PT1.023803824S
Internet unavailable,  2022-01-04 08:53:13.936723917 UTC, PT1.035383169S
Internet unavailable,  2022-01-04 08:53:31.136718524 UTC, PT1.034091920S
Internet unavailable,  2022-01-04 08:53:35.376703369 UTC, PT1.016598955S
Internet unavailable,  2022-01-04 09:03:31.241363591 UTC, PT22.636146384S
Internet unavailable,  2022-01-04 10:12:05.056706468 UTC, PT1.018851739S
Internet unavailable,  2022-01-04 10:49:24.552206258 UTC, PT15.033196708S
Internet unavailable,  2022-01-04 11:46:19.825085877 UTC, PT58.092530287S
Internet unavailable,  2022-01-04 12:51:40.596797759 UTC, PT5.631275752S
Internet unavailable,  2022-01-04 13:19:53.183125021 UTC, PT1.030863390S
Internet unavailable,  2022-01-04 15:10:41.952942660 UTC, PT58.089420586S
Internet unavailable,  2022-01-04 16:04:20.546789916 UTC, PT53.089344317S
Internet unavailable,  2022-01-04 16:09:03.603058791 UTC, PT53.084823944S
Internet unavailable,  2022-01-04 16:30:26.989310048 UTC, PT55.851835247S
Internet unavailable,  2022-01-05 00:48:06.416708771 UTC, PT1.034422404S
Internet unavailable,  2022-01-05 07:33:56.737935590 UTC, PT1.156518658S
Internet unavailable,  2022-01-05 07:35:13.377696962 UTC, PT1.172323437S
Internet unavailable,  2022-01-05 15:42:12.496770079 UTC, PT1.032476509S
Internet unavailable,  2022-01-05 16:54:57.936698788 UTC, PT1.029708615S
Internet unavailable,  2022-01-05 17:37:02.497753805 UTC, PT1.130591776S
Internet unavailable,  2022-01-07 20:20:35.456775356 UTC, PT1.016052167S
Internet unavailable,  2022-01-08 02:32:12.388623952 UTC, PT1.194294225S
Internet unavailable,  2022-01-09 11:47:43.093740066 UTC, PT1.029541466S
Internet unavailable,  2022-01-10 09:41:04.613785761 UTC, PT1.106275169S
Internet unavailable,  2022-01-10 10:02:41.558834916 UTC, PT1.037077112S
Internet unavailable,  2022-01-10 11:28:44.895560304 UTC, PT49.079937588S
Internet unavailable,  2022-01-10 11:44:32.213742721 UTC, PT1.029891912S
Internet unavailable,  2022-01-10 14:32:10.287558728 UTC, PT1.028265425S
Internet unavailable,  2022-01-10 15:55:27.993545802 UTC, PT1.035449257S
Internet unavailable,  2022-01-10 17:05:08.416915486 UTC, PT7.049859227S
Internet unavailable,  2022-01-10 17:07:57.973746278 UTC, PT1.229538380S
Internet unavailable,  2022-01-10 17:09:35.573783928 UTC, PT1.196064997S
Internet unavailable,  2022-01-11 00:23:10.133726543 UTC, PT1.040893994S
Internet unavailable,  2022-01-11 09:51:40.418309310 UTC, PT1.032420359S
Internet unavailable,  2022-01-11 11:10:51.871906840 UTC, PT58.085495344S
Internet unavailable,  2022-01-11 12:25:05.820281731 UTC, PT1.029427733S
Internet unavailable,  2022-01-11 13:02:11.810421255 UTC, PT15.049834006S
Internet unavailable,  2022-01-11 14:38:06.729614316 UTC, PT58.090280298S
Internet unavailable,  2022-01-11 15:24:17.971607171 UTC, PT15.039690049S
Internet unavailable,  2022-01-11 18:22:30.453861689 UTC, PT58.104163097S
Internet unavailable,  2022-01-12 05:14:51.173743195 UTC, PT1.028962130S
Internet unavailable,  2022-01-12 07:20:37.346164909 UTC, PT1.016370598S
Internet unavailable,  2022-01-12 07:33:11.333819842 UTC, PT1.018878908S
Internet unavailable,  2022-01-12 08:21:31.400652350 UTC, PT58.095503569S
Internet unavailable,  2022-01-12 09:49:29.479525975 UTC, PT38.077018385S
Internet unavailable,  2022-01-12 10:21:36.061882161 UTC, PT38.087433752S
Internet unavailable,  2022-01-12 12:25:06.112901791 UTC, PT15.058379699S
Internet unavailable,  2022-01-12 13:39:26.483834181 UTC, PT35.102624033S
Internet unavailable,  2022-01-12 13:51:00.360003860 UTC, PT35.067808974S
Internet unavailable,  2022-01-12 16:37:56.249409328 UTC, PT38.272291714S
Internet unavailable,  2022-01-12 16:40:01.538338345 UTC, PT58.078727174S
Internet unavailable,  2022-01-12 16:54:36.090122814 UTC, PT16.985051729S
Internet unavailable,  2022-01-13 10:39:31.413727123 UTC, PT1.026680918S
Internet unavailable,  2022-01-13 11:38:15.394666516 UTC, PT1.086538417S
Internet unavailable,  2022-01-13 12:20:45.387984086 UTC, PT35.073008861S
Internet unavailable,  2022-01-13 14:48:23.634817181 UTC, PT38.125381128S
Internet unavailable,  2022-01-13 15:05:02.960086341 UTC, PT14.282727646S
Internet unavailable,  2022-01-13 20:24:33.813785802 UTC, PT1.061467939S
Internet unavailable,  2022-01-13 21:14:04.593275601 UTC, PT115.800980003S
Internet unavailable,  2022-01-13 21:49:23.494061134 UTC, PT1.029903271S
Internet unavailable,  2022-01-13 22:22:46.373723019 UTC, PT1.036375027S
Internet unavailable,  2022-01-14 07:43:04.213749466 UTC, PT1.130509956S
Internet unavailable,  2022-01-14 09:52:54.937781861 UTC, PT45.509101007S
Internet unavailable,  2022-01-14 09:59:10.482844407 UTC, PT24.065066226S
Internet unavailable,  2022-01-14 10:34:19.521907171 UTC, PT52.093786956S
Internet unavailable,  2022-01-14 11:24:34.704259032 UTC, PT15.247914846S
Internet unavailable,  2022-01-14 13:50:30.016583551 UTC, PT14.197056837S
Internet unavailable,  2022-01-14 15:40:27.653761220 UTC, PT1.022380943S
Internet unavailable,  2022-01-14 16:26:59.111815649 UTC, PT1.577269222S
Internet unavailable,  2022-01-14 16:58:12.844986244 UTC, PT1.029159544S
Internet unavailable,  2022-01-14 17:11:38.693788436 UTC, PT1.018337995S
Internet unavailable,  2022-01-14 18:46:15.256694756 UTC, PT1.018442264S
Internet unavailable,  2022-01-14 18:52:37.819984211 UTC, PT1.528159197S
Internet unavailable,  2022-01-14 21:52:28.756173504 UTC, PT61.084595240S
Internet unavailable,  2022-01-14 23:48:09.962004169 UTC, PT1.017031725S
Internet unavailable,  2022-01-15 01:21:37.951766665 UTC, PT1.016379948S
Internet unavailable,  2022-01-15 02:15:55.702937222 UTC, PT12.750126060S
Internet unavailable,  2022-01-15 06:15:17.642933349 UTC, PT15.836738425S
Internet unavailable,  2022-01-15 08:26:16.853774781 UTC, PT1.032452875S
Internet unavailable,  2022-01-15 09:22:29.701263943 UTC, PT59.087424838S
Internet unavailable,  2022-01-15 11:39:23.582790519 UTC, PT2.717984926S
Internet unavailable,  2022-01-15 12:11:49.923159540 UTC, PT17.143535277S
Internet unavailable,  2022-01-15 12:28:58.488354338 UTC, PT1.032487783S
Internet unavailable,  2022-01-15 15:15:46.323024360 UTC, PT14.079915167S
Internet unavailable,  2022-01-15 16:36:30.878239316 UTC, PT1.097311635S
Internet unavailable,  2022-01-15 20:43:54.506865928 UTC, PT15.033624854S
Internet unavailable,  2022-01-15 21:26:26.378547223 UTC, PT40.071604367S
Internet unavailable,  2022-01-15 21:28:31.228499211 UTC, PT13.942535951S
Internet unavailable,  2022-01-15 21:37:58.419915098 UTC, PT7.046028810S
Internet unavailable,  2022-01-15 22:26:07.334660920 UTC, PT1.020863109S
Internet unavailable,  2022-01-15 23:39:55.543818339 UTC, PT1.024570495S
Internet unavailable,  2022-01-16 00:40:52.124022768 UTC, PT1.025249420S
Internet unavailable,  2022-01-16 00:51:04.373775894 UTC, PT15.036990347S
Internet unavailable,  2022-01-16 01:12:05.724685593 UTC, PT1.022765168S
Internet unavailable,  2022-01-16 05:33:43.798174825 UTC, PT1.028815566S
